customer_id,age,sex,marital_status,job,employment_duration,housing,guarantors,num_dependants,checking_status,savings_status,amount,duration,purpose,credit_history,installment_rate,risk_label
134,47,male,single,skilled employee,1 - 4 years,for free,none,1,no account,< 100 DM,1984,18,furniture/equipment,existing credits paid back duly,4.0,0
135,21,female,non-single/single,skilled employee,4 - 7 years,own,none,1,no account,100 - 500 DM,10144,60,radio/television,existing credits paid back duly,2.0,0
136,38,female,non-single/single,skilled employee,> 7 years,own,none,1,no account,unknown/no savings,1240,12,radio/television,critical account/other credits existing (outside this bank),4.0,0
137,27,male,single,skilled employee,1 - 4 years,own,none,1,no account,"> 1,000 DM",8613,27,car (used),delay paying off in the past,2.0,0
138,66,male,single,unskilled employee,1 - 4 years,own,none,1,0 - 200 DM,"500 - 1,000 DM",766,12,radio/television,existing credits paid back duly,4.0,1
139,35,male,single,skilled employee,4 - 7 years,own,gurantor,1,0 - 200 DM,unknown/no savings,2728,15,radio/television,critical account/other credits existing (outside this bank),4.0,0
140,44,female,non-single/single,unskilled employee,1 - 4 years,rent,none,1,>= 200 DM,< 100 DM,1881,12,radio/television,existing credits paid back duly,2.0,0
141,27,male,married/widowed,unemployed,< 1 year,own,none,1,>= 200 DM,"> 1,000 DM",709,6,car (new),existing credits paid back duly,2.0,0
142,30,female,non-single/single,highly skilled employee,< 1 year,own,none,1,0 - 200 DM,< 100 DM,4795,36,radio/television,existing credits paid back duly,4.0,0
143,27,male,single,highly skilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,3416,27,radio/television,existing credits paid back duly,3.0,0
144,22,male,single,skilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,2462,18,furniture/equipment,existing credits paid back duly,2.0,1
145,23,female,non-single/single,skilled employee,< 1 year,own,none,1,no account,< 100 DM,2288,21,furniture/equipment,critical account/other credits existing (outside this bank),4.0,0
146,30,male,single,skilled employee,4 - 7 years,own,none,1,0 - 200 DM,100 - 500 DM,3566,48,business,all credits at this bank paid back duly,4.0,0
147,39,female,non-single/single,skilled employee,> 7 years,own,none,1,< 0 DM,< 100 DM,860,6,car (new),critical account/other credits existing (outside this bank),1.0,0
148,51,female,non-single/single,skilled employee,4 - 7 years,own,none,1,no account,100 - 500 DM,682,12,car (new),critical account/other credits existing (outside this bank),4.0,0
149,28,male,single,skilled employee,1 - 4 years,own,gurantor,1,< 0 DM,< 100 DM,5371,36,furniture/equipment,critical account/other credits existing (outside this bank),3.0,0
150,46,male,single,skilled employee,> 7 years,own,none,1,no account,"> 1,000 DM",1582,18,radio/television,critical account/other credits existing (outside this bank),4.0,0
151,42,male,single,skilled employee,> 7 years,for free,none,2,no account,100 - 500 DM,1346,6,radio/television,existing credits paid back duly,2.0,0
152,38,male,single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,1924,10,radio/television,existing credits paid back duly,1.0,0
153,24,male,single,skilled employee,1 - 4 years,own,none,1,>= 200 DM,< 100 DM,5848,36,radio/television,existing credits paid back duly,4.0,0
154,29,female,non-single/single,skilled employee,> 7 years,rent,none,1,0 - 200 DM,"> 1,000 DM",7758,24,car (used),critical account/other credits existing (outside this bank),2.0,0
155,36,male,single,highly skilled employee,4 - 7 years,rent,none,1,0 - 200 DM,100 - 500 DM,6967,24,business,delay paying off in the past,4.0,0
156,20,female,non-single/single,skilled employee,1 - 4 years,rent,none,1,< 0 DM,< 100 DM,1282,12,furniture/equipment,existing credits paid back duly,2.0,1
157,48,male,single,skilled employee,> 7 years,own,gurantor,2,< 0 DM,100 - 500 DM,1288,9,repairs,critical account/other credits existing (outside this bank),3.0,0
158,45,male,married/widowed,unskilled employee,> 7 years,own,none,1,< 0 DM,< 100 DM,339,12,retraining,all credits at this bank paid back duly,4.0,0
159,38,male,single,skilled employee,4 - 7 years,own,none,1,0 - 200 DM,100 - 500 DM,3512,24,car (new),existing credits paid back duly,2.0,0
160,34,male,single,unskilled employee,1 - 4 years,own,none,2,no account,unknown/no savings,1898,6,radio/television,critical account/other credits existing (outside this bank),1.0,0
161,36,male,single,skilled employee,> 7 years,own,none,2,no account,100 - 500 DM,2872,24,radio/television,critical account/other credits existing (outside this bank),3.0,0
162,30,female,non-single/single,skilled employee,< 1 year,own,none,1,no account,< 100 DM,1055,18,car (new),critical account/other credits existing (outside this bank),4.0,0
163,36,male,single,skilled employee,4 - 7 years,own,none,1,no account,"500 - 1,000 DM",1262,15,domestic appliance,existing credits paid back duly,4.0,0
164,70,male,single,highly skilled employee,unemployed,for free,none,1,0 - 200 DM,< 100 DM,7308,10,car (new),existing credits paid back duly,2.0,0
165,36,male,single,skilled employee,> 7 years,own,none,1,no account,"500 - 1,000 DM",909,36,car (new),existing credits paid back duly,4.0,0
166,32,male,single,skilled employee,1 - 4 years,own,none,1,no account,"500 - 1,000 DM",2978,6,furniture/equipment,existing credits paid back duly,1.0,0
167,33,female,non-single/single,skilled employee,unemployed,own,none,1,< 0 DM,< 100 DM,1131,18,furniture/equipment,existing credits paid back duly,4.0,1
168,20,female,non-single/single,skilled employee,< 1 year,own,none,1,0 - 200 DM,"> 1,000 DM",1577,11,furniture/equipment,existing credits paid back duly,4.0,0
169,25,female,non-single/single,skilled employee,4 - 7 years,rent,none,1,no account,< 100 DM,3972,24,furniture/equipment,existing credits paid back duly,2.0,0
170,31,male,divorved/separated,skilled employee,> 7 years,own,none,1,0 - 200 DM,< 100 DM,1935,24,business,critical account/other credits existing (outside this bank),4.0,1
171,33,male,single,skilled employee,> 7 years,rent,none,2,< 0 DM,< 100 DM,950,15,car (new),no credits/paid back duly,4.0,1
172,26,female,non-single/single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,763,12,furniture/equipment,existing credits paid back duly,4.0,0
173,34,female,non-single/single,highly skilled employee,unemployed,own,none,1,0 - 200 DM,< 100 DM,2064,24,furniture/equipment,delay paying off in the past,3.0,1
174,33,male,single,skilled employee,1 - 4 years,own,gurantor,1,0 - 200 DM,< 100 DM,1414,8,radio/television,existing credits paid back duly,4.0,0
175,26,male,single,skilled employee,< 1 year,own,none,1,< 0 DM,< 100 DM,3414,21,education,delay paying off in the past,2.0,1
176,53,female,non-single/single,highly skilled employee,unemployed,own,none,1,no account,unknown/no savings,7485,30,car (used),all credits at this bank paid back duly,4.0,1
177,42,male,divorved/separated,skilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,2577,12,furniture/equipment,existing credits paid back duly,2.0,0
178,52,male,single,skilled employee,> 7 years,own,none,1,< 0 DM,"500 - 1,000 DM",338,6,radio/television,critical account/other credits existing (outside this bank),4.0,0
179,31,male,single,highly skilled employee,4 - 7 years,rent,none,2,no account,< 100 DM,1963,12,radio/television,existing credits paid back duly,4.0,0
180,65,male,single,skilled employee,> 7 years,own,none,1,< 0 DM,< 100 DM,571,21,car (new),critical account/other credits existing (outside this bank),4.0,0
181,28,male,divorved/separated,skilled employee,< 1 year,own,none,1,no account,< 100 DM,9572,36,business,delay paying off in the past,1.0,1
182,30,male,divorved/separated,highly skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,4455,36,business,delay paying off in the past,2.0,1
183,40,male,single,unskilled employee,1 - 4 years,own,none,2,< 0 DM,unknown/no savings,1647,21,car (new),all credits at this bank paid back duly,4.0,1
184,50,male,single,skilled employee,1 - 4 years,own,none,1,no account,"> 1,000 DM",3777,24,furniture/equipment,critical account/other credits existing (outside this bank),4.0,0
185,36,male,single,skilled employee,> 7 years,own,none,2,0 - 200 DM,< 100 DM,884,18,car (new),critical account/other credits existing (outside this bank),4.0,1
186,31,male,single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,1360,15,radio/television,critical account/other credits existing (outside this bank),4.0,0
187,74,female,non-single/single,highly skilled employee,> 7 years,for free,none,2,0 - 200 DM,< 100 DM,5129,9,car (used),all credits at this bank paid back duly,2.0,1
188,68,male,single,unemployed,unemployed,for free,none,1,0 - 200 DM,< 100 DM,1175,16,car (new),critical account/other credits existing (outside this bank),2.0,0
189,20,male,married/widowed,skilled employee,4 - 7 years,own,none,1,< 0 DM,100 - 500 DM,674,12,radio/television,existing credits paid back duly,4.0,1
190,33,female,non-single/single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,3244,18,furniture/equipment,no credits/paid back duly,1.0,0
191,54,male,single,highly skilled employee,1 - 4 years,own,none,1,no account,"> 1,000 DM",4591,24,business,existing credits paid back duly,2.0,1
192,34,male,single,unskilled employee,4 - 7 years,for free,none,2,0 - 200 DM,100 - 500 DM,3844,48,business,no credits/paid back duly,4.0,1
193,36,male,single,skilled employee,1 - 4 years,own,none,2,0 - 200 DM,< 100 DM,3915,27,business,existing credits paid back duly,4.0,1
